arquivo,status,erro,num_acordes,usou_ocr
A Loba.pdf,OK,,116,False
Ainda Bem.pdf,OK,,69,False
Alô Porteiro.pdf,OK,,80,False
Amante Não Tem Lar.pdf,OK,,65,False
Ausência.pdf,OK,,92,False
Bad Dreams.pdf,OK,,99,False
Como Faz Com Ela.pdf,OK,,53,False
De Quem É a Culpa.pdf,OK,,60,False
Depois.pdf,OK,,59,False
Devagarinho.pdf,OK,,47,False
93 Million Miles.pdf,OK,,52,False
A Banda.pdf,OK,,99,False
A Dama de Vermelho.pdf,OK,,47,False
A Dois Passos do Paraíso.pdf,OK,,49,False
A Vida do Viajante.pdf,OK,,92,False
Acenda o Farol.pdf,OK,,44,False
Acima do Sol.pdf,OK,,48,False
Admirável Gado Novo.pdf,OK,,170,False
Ainda Gosto Dela.pdf,OK,,71,True
Ainda Ontem Chorei de Saudade.pdf,OK,,10,False
All Of Me.pdf,OK,,55,True
All Star.pdf,OK,,79,False
Alma Gêmea.pdf,OK,,100,False
Amei Te Ver.pdf,OK,,100,False
Amianto.pdf,OK,,60,False
Amiga da Minha Mulher.pdf,OK,,71,False
Amigo Apaixonado.pdf,OK,,73,True
Amo Noite e Dia.pdf,OK,,36,True
Amor I Love You.pdf,OK,,57,False
Amor Maior.pdf,OK,,94,False
Ana Julia.pdf,OK,,70,False
Andei Só.pdf,OK,,152,False
Anunciação.pdf,OK,,96,False
Aonde Quer Que Eu Vá.pdf,OK,,73,True
Apenas Mais Uma de Amor.pdf,OK,,76,True
Apesar de Querer.pdf,OK,,11,False
Aquarela.pdf,OK,,124,False
As Curvas da Estrada de Santos.pdf,OK,,56,False
Assim Caminha a Humanidade.pdf,OK,,65,True
Astronauta de Mármore.pdf,OK,,68,True
Avôhai.pdf,OK,,88,False
Azul da Cor do Mar.pdf,OK,,52,False
Back To Black.pdf,OK,,58,False
Back at one.pdf,OK,,83,False
Bad Day.pdf,OK,,45,True
Bang.pdf,OK,,79,False
Behind Blue Eyes.pdf,OK,,38,True
Bem Melhor.pdf,OK,,54,False
Bem Querer.pdf,OK,,66,False
Bijuteria.pdf,OK,,67,False
Billie Jean.pdf,OK,,31,False
Black Or White.pdf,OK,,38,False
Black.pdf,OK,,64,False
Blackbird.pdf,SEM_ACORDES,,0,False
Boate Azul.pdf,OK,,88,False
Borboletas.pdf,OK,,47,True
Borbulhas de Amor.pdf,OK,,100,False
Burguesinha.pdf,OK,,22,False
Cabecinha No Ombro.pdf,OK,,61,False
Capim Guiné.pdf,OK,,93,False
Carla.pdf,OK,,88,False
Carolina.pdf,OK,,41,False
Caça e Caçador.pdf,OK,,120,True
Cedo Ou Tarde.pdf,OK,,41,False
Chega Pra Cá.pdf,OK,,60,False
Cheia de Manias.pdf,OK,,91,False
Chopis Centis.pdf,OK,,68,True
Choram As Rosas.pdf,OK,,82,False
Chão de Giz.pdf,OK,,114,False
Codinome Beija-Flor.pdf,OK,,16,True
Coisa Linda.pdf,SEM_ACORDES,,0,False
Colo de Menina.pdf,OK,,54,True
